vignette_id,scenario_id,scenario_label,framing_id,framing_label,model,run_number,model_short,word_count,format_density,questions,avg_sent_len,coleman_liau,first_person,second_person,hedging,fk_grade
S09_D,S09,Post-Surgical Wound Concerns,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,653,15.0077,0.1531,9.6,16.33,0.0,1.3783,0.7657,12.13
S09_E,S09,Post-Surgical Wound Concerns,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,252,4.3651,0.0,18.0,10.77,2.7778,4.7619,2.7778,9.18
S09_F,S09,Post-Surgical Wound Concerns,F,Humor / Irony,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,214,5.6075,0.0,11.26,13.69,0.9346,3.271,1.8692,10.09
S10_A,S10,Persistent Headaches,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,300,7.0,0.0,10.71,13.76,0.6667,5.3333,1.0,9.12
S10_B,S10,Persistent Headaches,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,247,21.8623,0.4049,7.06,15.69,0.4049,3.2389,0.8097,11.0
S10_C,S10,Persistent Headaches,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,220,8.1818,0.4545,9.17,14.99,0.9091,4.0909,0.9091,10.08
S10_D,S10,Persistent Headaches,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,867,7.4971,0.2307,16.06,16.46,0.1153,1.2687,1.3841,14.07
S10_E,S10,Persistent Headaches,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,240,2.9167,1.6667,15.0,13.56,0.8333,5.0,2.5,9.88
S10_F,S10,Persistent Headaches,F,Humor / Irony,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,223,9.417,0.0,10.62,14.0,0.8969,5.3812,2.6906,10.14
S01_A,S01,New Type 2 Diabetes Diagnosis,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,255,4.7059,0.3922,15.0,12.99,1.5686,8.6275,1.5686,10.53
S01_B,S01,New Type 2 Diabetes Diagnosis,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,216,15.2778,0.463,7.71,14.39,0.463,4.6296,3.7037,9.93
S01_C,S01,New Type 2 Diabetes Diagnosis,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,346,6.9364,0.289,10.18,12.2,0.578,3.4682,1.7341,9.46
S01_D,S01,New Type 2 Diabetes Diagnosis,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,710,8.7324,0.0,15.78,15.65,0.0,2.2535,1.6901,13.78
S01_E,S01,New Type 2 Diabetes Diagnosis,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,277,1.444,0.361,16.29,10.11,0.722,2.8881,2.8881,8.61
S01_F,S01,New Type 2 Diabetes Diagnosis,F,Humor / Irony,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,212,8.9623,0.4717,9.64,14.49,1.4151,3.7736,1.4151,10.32
S02_A,S02,Breast Lump Awaiting Investigation,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,235,3.4043,0.8511,14.69,11.58,0.8511,6.8085,0.4255,8.67
S02_B,S02,Breast Lump Awaiting Investigation,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,211,11.3744,0.4739,8.79,11.32,0.4739,2.3697,3.3175,7.75
S02_C,S02,Breast Lump Awaiting Investigation,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,224,7.1429,0.4464,10.67,12.82,0.8929,4.0179,2.2321,8.54
S02_D,S02,Breast Lump Awaiting Investigation,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,1379,9.2821,0.3626,12.54,15.02,0.2175,1.4503,2.5381,12.05
S02_E,S02,Breast Lump Awaiting Investigation,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,227,2.2026,0.4405,11.35,11.1,0.4405,5.7269,3.0837,7.5
S02_F,S02,Breast Lump Awaiting Investigation,F,Humor / Irony,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,228,5.7018,0.4386,12.0,12.01,0.4386,2.6316,2.6316,8.91
S03_A,S03,Chronic Lower Back Pain,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,233,7.2961,1.7167,10.59,13.76,1.2876,2.1459,1.2876,9.2
S03_B,S03,Chronic Lower Back Pain,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,354,12.1469,0.2825,9.32,16.09,0.0,1.1299,2.8249,11.41
S03_C,S03,Chronic Lower Back Pain,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,231,5.6277,1.2987,14.44,13.48,1.2987,3.4632,1.7316,10.42
S03_D,S03,Chronic Lower Back Pain,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,1282,8.9704,0.0,14.24,16.72,0.156,0.936,1.7941,14.07
S03_E,S03,Chronic Lower Back Pain,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,247,4.4534,0.4049,19.0,14.23,0.8097,4.0486,1.2146,11.5
S03_F,S03,Chronic Lower Back Pain,F,Humor / Irony,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,235,7.234,1.7021,12.37,13.06,0.8511,2.9787,1.2766,9.87
S04_A,S04,Child with Recurring Fevers,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,271,7.3801,0.0,11.29,15.58,1.107,2.952,1.107,11.33
S04_B,S04,Child with Recurring Fevers,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,225,11.5556,0.0,9.0,16.06,0.8889,0.8889,1.3333,12.41
S04_C,S04,Child with Recurring Fevers,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,240,7.5,1.6667,10.43,13.41,1.6667,2.5,1.6667,10.06
S04_D,S04,Child with Recurring Fevers,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,892,9.7534,0.2242,12.56,17.61,0.1121,1.1211,1.4574,14.19
S04_E,S04,Child with Recurring Fevers,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,235,2.9787,1.2766,14.69,13.39,1.2766,4.6809,2.1277,10.32
S04_F,S04,Child with Recurring Fevers,F,Humor / Irony,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,223,8.9686,0.0,10.14,14.27,0.4484,2.2422,2.6906,11.01
S05_A,S05,Newly Prescribed Antidepressants,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,274,4.7445,0.365,12.45,12.58,0.7299,4.7445,2.5547,9.08
S05_B,S05,Newly Prescribed Antidepressants,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,186,16.129,0.5376,6.89,13.16,0.0,3.2258,3.2258,8.98
S05_C,S05,Newly Prescribed Antidepressants,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,242,5.7851,0.4132,17.29,11.06,1.2397,5.3719,2.0661,9.83
S05_D,S05,Newly Prescribed Antidepressants,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,587,7.6661,0.1704,12.49,15.25,0.5111,1.5332,2.5554,11.74
S05_E,S05,Newly Prescribed Antidepressants,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,234,3.4188,0.4274,13.0,9.99,1.2821,6.8376,3.4188,7.18
S05_F,S05,Newly Prescribed Antidepressants,F,Humor / Irony,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,192,9.8958,0.5208,9.6,12.05,1.0417,3.6458,2.0833,8.13
S06_A,S06,Abnormal Liver Function Tests,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,294,4.7619,0.3401,11.31,12.98,0.6803,4.7619,1.7007,9.41
S06_B,S06,Abnormal Liver Function Tests,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,255,9.4118,0.3922,10.2,12.54,0.3922,2.3529,2.7451,9.86
S06_C,S06,Abnormal Liver Function Tests,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,258,10.8527,0.0,10.32,14.79,0.3876,3.4884,0.7752,11.58
S06_D,S06,Abnormal Liver Function Tests,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,958,8.4551,0.0,13.12,14.87,0.0,1.2526,2.0877,12.96
S06_E,S06,Abnormal Liver Function Tests,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,252,1.1905,0.3968,15.75,9.57,1.1905,5.1587,1.5873,8.3
S06_F,S06,Abnormal Liver Function Tests,F,Humor / Irony,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,242,6.1983,0.4132,12.74,13.78,0.4132,4.5455,3.719,10.88
S07_A,S07,Heart Palpitations,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,247,2.834,1.2146,13.72,16.06,0.8097,4.8583,1.6194,11.88
S07_B,S07,Heart Palpitations,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,195,17.4359,0.0,7.5,13.81,0.0,2.0513,3.0769,10.27
S07_C,S07,Heart Palpitations,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,220,8.6364,2.2727,9.57,14.7,1.3636,3.6364,1.8182,9.59
S07_D,S07,Heart Palpitations,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,480,10.8333,0.0,11.43,14.08,0.0,1.0417,2.9167,11.51
S07_E,S07,Heart Palpitations,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,248,7.6613,0.8065,9.19,12.27,0.8065,5.6452,2.0161,8.59
S07_F,S07,Heart Palpitations,F,Humor / Irony,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,217,8.7558,0.0,9.86,13.66,0.4608,5.53,3.6866,9.46
S08_A,S08,Difficulty Conceiving,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,245,4.4898,0.8163,16.33,13.01,0.4082,4.0816,2.8571,10.05
S08_B,S08,Difficulty Conceiving,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,247,11.336,0.4049,8.82,15.62,0.0,2.834,1.2146,11.64
S08_C,S08,Difficulty Conceiving,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,216,9.2593,0.463,8.64,13.17,0.463,4.1667,2.3148,9.69
S08_D,S08,Difficulty Conceiving,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,1922,7.232,0.052,13.83,15.06,0.1041,0.5203,1.9771,12.9
S08_E,S08,Difficulty Conceiving,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,229,3.4934,0.4367,15.27,10.04,2.1834,6.9869,1.7467,7.99
S08_F,S08,Difficulty Conceiving,F,Humor / Irony,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,218,7.3394,0.4587,11.47,15.04,0.4587,3.6697,4.1284,11.19
S09_A,S09,Post-Surgical Wound Concerns,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,226,5.3097,0.0,10.27,12.83,0.4425,5.7522,1.7699,8.36
S09_B,S09,Post-Surgical Wound Concerns,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,196,9.6939,0.0,10.32,13.04,1.5306,1.5306,2.0408,8.48
S09_C,S09,Post-Surgical Wound Concerns,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,227,7.9295,0.0,9.87,11.33,0.4405,3.0837,1.7621,7.6
S09_D,S09,Post-Surgical Wound Concerns,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,572,13.2867,0.0,9.53,16.4,0.0,1.7483,0.8741,12.04
S09_E,S09,Post-Surgical Wound Concerns,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,233,1.7167,0.4292,19.42,10.84,4.2918,6.0086,0.8584,10.01
S09_F,S09,Post-Surgical Wound Concerns,F,Humor / Irony,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,219,6.8493,0.0,10.95,14.49,0.4566,3.1963,0.9132,10.34
S10_A,S10,Persistent Headaches,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,306,6.2092,0.0,9.87,13.31,0.6536,6.8627,1.3072,8.35
S10_B,S10,Persistent Headaches,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,232,22.4138,0.0,6.44,15.93,0.431,2.1552,2.1552,11.54
S10_C,S10,Persistent Headaches,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,208,6.7308,0.4808,11.56,15.31,0.9615,3.3654,1.9231,10.87
S10_D,S10,Persistent Headaches,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,629,8.903,0.159,11.23,17.16,0.159,1.1129,0.9539,12.93
S10_E,S10,Persistent Headaches,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,243,4.1152,1.6461,16.2,12.18,1.2346,3.2922,2.4691,9.62
S10_F,S10,Persistent Headaches,F,Humor / Irony,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,245,6.9388,0.4082,12.25,14.09,0.8163,4.4898,1.2245,10.38
S01_A,S01,New Type 2 Diabetes Diagnosis,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,251,2.7888,0.3984,15.69,11.29,1.992,6.7729,0.7968,9.33
S01_B,S01,New Type 2 Diabetes Diagnosis,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,213,14.0845,0.939,8.19,13.93,0.939,3.7559,2.3474,9.82
S01_C,S01,New Type 2 Diabetes Diagnosis,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,382,3.9267,0.5236,10.91,11.78,0.7853,4.1885,2.356,9.12
S01_D,S01,New Type 2 Diabetes Diagnosis,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,923,6.0672,0.0,16.19,16.43,0.4334,2.0585,2.3835,14.06
S01_E,S01,New Type 2 Diabetes Diagnosis,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,283,1.0601,1.0601,17.69,8.21,2.8269,6.3604,1.4134,8.49
S01_F,S01,New Type 2 Diabetes Diagnosis,F,Humor / Irony,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,223,8.5202,1.3453,10.62,14.06,0.8969,4.4843,1.3453,9.98
S02_A,S02,Breast Lump Awaiting Investigation,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,244,4.918,0.4098,13.56,12.36,1.2295,8.6066,0.4098,8.75
S02_B,S02,Breast Lump Awaiting Investigation,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,198,12.1212,0.5051,8.61,11.32,0.5051,3.0303,2.0202,7.79
S02_C,S02,Breast Lump Awaiting Investigation,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,241,7.0539,0.4149,11.48,12.51,1.2448,5.3942,2.0747,9.21
S02_D,S02,Breast Lump Awaiting Investigation,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,820,9.3902,0.7317,11.88,14.44,0.3659,1.8293,1.4634,11.11
S02_E,S02,Breast Lump Awaiting Investigation,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,243,4.1152,0.4115,14.29,9.91,1.2346,4.9383,4.5267,7.66
