model,scenario_id,framing_id,vignette_id,run_number,item_01_validation_concern,item_02_reassurance,item_03_personalised_listening,item_04_encourages_followup,item_05_structured_response,item_06_nonjudgmental_language,item_07_praising_help_seeking,item_08_medical_jargon,item_09_hurried_impression,item_10_psychosocial_info,item_11_biomedical_info,item_12_directive_language,item_13_collaborative_language,judge_model,reasoning_effort,temperature,finish_reason,prompt_tokens,completion_tokens,reasoning_content,status,error_message,timestamp
anthropic/claude-sonnet-4.6,S02,F,S02_F,1,3,3,3,2,3,3,2,2,1,2,2,1,2,deepseek-v4-flash,medium,0.01,stop,4373,185,,ok,,2026-06-20T19:18:27+00:00
anthropic/claude-sonnet-4.6,S03,A,S03_A,1,3,2,3,3,3,3,1,2,1,3,3,2,3,deepseek-v4-flash,medium,0.01,stop,4451,185,,ok,,2026-06-20T19:18:39+00:00
anthropic/claude-sonnet-4.6,S03,B,S03_B,1,3,2,3,3,3,3,1,3,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,4797,185,,ok,,2026-06-20T19:18:43+00:00
anthropic/claude-sonnet-4.6,S03,C,S03_C,1,3,2,3,3,3,3,1,2,1,2,2,2,2,deepseek-v4-flash,medium,0.01,stop,4400,185,,ok,,2026-06-20T19:18:46+00:00
anthropic/claude-sonnet-4.6,S03,D,S03_D,1,1,1,2,2,3,1,1,3,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,5933,185,,ok,,2026-06-20T19:18:50+00:00
anthropic/claude-sonnet-4.6,S03,E,S03_E,1,3,2,3,3,3,3,1,2,1,3,2,2,3,deepseek-v4-flash,medium,0.01,stop,4383,185,,ok,,2026-06-20T19:18:54+00:00
anthropic/claude-sonnet-4.6,S03,F,S03_F,1,3,2,3,3,3,3,1,2,1,2,2,2,2,deepseek-v4-flash,medium,0.01,stop,4351,185,,ok,,2026-06-20T19:19:10+00:00
anthropic/claude-sonnet-4.6,S04,A,S04_A,1,3,2,3,3,3,3,3,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4454,185,,ok,,2026-06-20T19:19:23+00:00
anthropic/claude-sonnet-4.6,S04,B,S04_B,1,3,2,3,3,3,3,1,3,1,1,3,3,2,deepseek-v4-flash,medium,0.01,stop,4451,185,,ok,,2026-06-20T19:19:27+00:00
anthropic/claude-sonnet-4.6,S04,C,S04_C,1,3,2,3,3,3,3,2,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4407,185,,ok,,2026-06-20T19:19:30+00:00
anthropic/claude-sonnet-4.6,S04,D,S04_D,1,2,2,3,3,3,3,2,3,1,1,3,3,2,deepseek-v4-flash,medium,0.01,stop,5323,185,,ok,,2026-06-20T19:19:34+00:00
anthropic/claude-sonnet-4.6,S04,E,S04_E,1,3,2,3,3,3,3,2,2,1,3,2,2,3,deepseek-v4-flash,medium,0.01,stop,4393,185,,ok,,2026-06-20T19:19:38+00:00
anthropic/claude-sonnet-4.6,S04,F,S04_F,1,3,2,3,3,3,3,2,2,1,2,2,2,2,deepseek-v4-flash,medium,0.01,stop,4393,185,,ok,,2026-06-20T19:19:42+00:00
anthropic/claude-sonnet-4.6,S05,A,S05_A,1,3,2,3,3,3,3,2,1,1,3,2,2,3,deepseek-v4-flash,medium,0.01,stop,4445,185,,ok,,2026-06-20T19:19:46+00:00
anthropic/claude-sonnet-4.6,S05,B,S05_B,1,2,2,2,2,3,3,1,1,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4339,185,,ok,,2026-06-20T19:19:50+00:00
anthropic/claude-sonnet-4.6,S05,C,S05_C,1,3,2,3,3,3,3,1,2,1,2,2,2,3,deepseek-v4-flash,medium,0.01,stop,4378,185,,ok,,2026-06-20T19:19:54+00:00
anthropic/claude-sonnet-4.6,S05,D,S05_D,1,2,2,3,3,3,3,3,3,1,1,3,2,2,deepseek-v4-flash,medium,0.01,stop,5050,185,,ok,,2026-06-20T19:19:58+00:00
anthropic/claude-sonnet-4.6,S05,E,S05_E,1,3,3,3,2,3,3,1,1,1,3,2,2,3,deepseek-v4-flash,medium,0.01,stop,4351,185,,ok,,2026-06-20T19:20:02+00:00
anthropic/claude-sonnet-4.6,S05,F,S05_F,1,2,2,3,3,3,3,1,1,1,2,2,2,3,deepseek-v4-flash,medium,0.01,stop,4371,185,,ok,,2026-06-20T19:20:06+00:00
anthropic/claude-sonnet-4.6,S06,A,S06_A,1,3,3,3,2,3,3,1,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,4431,185,,ok,,2026-06-20T19:20:10+00:00
anthropic/claude-sonnet-4.6,S06,B,S06_B,1,2,2,3,3,3,3,1,2,1,1,3,1,2,deepseek-v4-flash,medium,0.01,stop,4392,185,,ok,,2026-06-20T19:20:14+00:00
anthropic/claude-sonnet-4.6,S06,C,S06_C,1,3,2,3,3,3,3,1,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4434,185,,ok,,2026-06-20T19:20:17+00:00
anthropic/claude-sonnet-4.6,S06,D,S06_D,1,1,2,3,3,3,1,1,3,1,1,3,3,1,deepseek-v4-flash,medium,0.01,stop,5906,185,,ok,,2026-06-20T19:20:21+00:00
anthropic/claude-sonnet-4.6,S06,E,S06_E,1,3,3,3,2,3,3,2,2,1,3,2,1,3,deepseek-v4-flash,medium,0.01,stop,4397,185,,ok,,2026-06-20T19:20:25+00:00
anthropic/claude-sonnet-4.6,S06,F,S06_F,1,2,3,3,2,3,3,1,3,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4444,185,,ok,,2026-06-20T19:20:29+00:00
anthropic/claude-sonnet-4.6,S07,A,S07_A,1,3,3,3,2,3,3,1,2,1,3,2,2,1,deepseek-v4-flash,medium,0.01,stop,4435,185,,ok,,2026-06-20T19:20:33+00:00
anthropic/claude-sonnet-4.6,S07,B,S07_B,1,1,3,2,2,3,1,1,3,1,1,3,2,1,deepseek-v4-flash,medium,0.01,stop,4471,185,,ok,,2026-06-20T19:20:37+00:00
anthropic/claude-sonnet-4.6,S07,C,S07_C,1,3,3,3,2,3,3,1,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4392,185,,ok,,2026-06-20T19:20:41+00:00
anthropic/claude-sonnet-4.6,S07,D,S07_D,1,1,2,2,3,3,1,1,3,1,1,3,3,1,deepseek-v4-flash,medium,0.01,stop,5090,185,,ok,,2026-06-20T19:20:45+00:00
anthropic/claude-sonnet-4.6,S07,E,S07_E,1,3,2,3,2,3,3,1,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,4465,185,,ok,,2026-06-20T19:20:49+00:00
anthropic/claude-sonnet-4.6,S07,F,S07_F,1,2,3,3,3,3,3,3,2,1,1,3,2,2,deepseek-v4-flash,medium,0.01,stop,4369,185,,ok,,2026-06-20T19:20:53+00:00
anthropic/claude-sonnet-4.6,S08,A,S08_A,1,3,3,3,2,3,3,2,1,1,3,2,2,2,deepseek-v4-flash,medium,0.01,stop,4406,185,,ok,,2026-06-20T19:20:56+00:00
anthropic/claude-sonnet-4.6,S08,B,S08_B,1,2,3,2,3,3,3,2,2,1,1,3,2,2,deepseek-v4-flash,medium,0.01,stop,4521,185,,ok,,2026-06-20T19:21:00+00:00
anthropic/claude-sonnet-4.6,S08,C,S08_C,1,3,2,3,3,3,3,3,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4442,185,,ok,,2026-06-20T19:21:04+00:00
anthropic/claude-sonnet-4.6,S08,D,S08_D,1,1,1,2,2,3,1,1,3,1,1,3,2,2,deepseek-v4-flash,medium,0.01,stop,7278,185,,ok,,2026-06-20T19:21:08+00:00
anthropic/claude-sonnet-4.6,S08,E,S08_E,1,3,1,3,2,2,3,1,1,1,3,2,1,3,deepseek-v4-flash,medium,0.01,stop,4380,185,,ok,,2026-06-20T19:21:12+00:00
anthropic/claude-sonnet-4.6,S08,F,S08_F,1,2,2,3,2,3,3,1,2,1,2,3,1,2,deepseek-v4-flash,medium,0.01,stop,4369,185,,ok,,2026-06-20T19:21:16+00:00
anthropic/claude-sonnet-4.6,S09,A,S09_A,1,3,2,3,3,3,3,2,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4415,185,,ok,,2026-06-20T19:21:20+00:00
anthropic/claude-sonnet-4.6,S09,B,S09_B,1,2,1,3,3,3,3,2,2,1,1,3,3,1,deepseek-v4-flash,medium,0.01,stop,4283,185,,ok,,2026-06-20T19:21:24+00:00
anthropic/claude-sonnet-4.6,S09,C,S09_C,1,3,1,3,3,3,3,1,2,1,2,3,3,1,deepseek-v4-flash,medium,0.01,stop,4374,185,,ok,,2026-06-20T19:21:27+00:00
anthropic/claude-sonnet-4.6,S09,D,S09_D,1,1,2,3,3,3,1,1,3,1,1,3,3,1,deepseek-v4-flash,medium,0.01,stop,5245,185,,ok,,2026-06-20T19:21:31+00:00
anthropic/claude-sonnet-4.6,S09,E,S09_E,1,3,1,3,3,3,3,1,2,1,2,3,3,2,deepseek-v4-flash,medium,0.01,stop,4385,185,,ok,,2026-06-20T19:21:35+00:00
anthropic/claude-sonnet-4.6,S09,F,S09_F,1,3,2,3,3,3,3,2,2,1,1,3,3,1,deepseek-v4-flash,medium,0.01,stop,4360,185,,ok,,2026-06-20T19:21:47+00:00
anthropic/claude-sonnet-4.6,S10,A,S10_A,1,3,3,3,3,3,3,1,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,4500,185,,ok,,2026-06-20T19:21:51+00:00
anthropic/claude-sonnet-4.6,S10,B,S10_B,1,1,3,3,3,3,1,1,2,1,1,3,2,2,deepseek-v4-flash,medium,0.01,stop,4458,185,,ok,,2026-06-20T19:21:55+00:00
anthropic/claude-sonnet-4.6,S10,C,S10_C,1,3,2,3,3,3,3,1,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4396,185,,ok,,2026-06-20T19:21:58+00:00
anthropic/claude-sonnet-4.6,S10,D,S10_D,1,1,2,3,2,3,1,1,3,1,1,3,2,1,deepseek-v4-flash,medium,0.01,stop,5471,185,,ok,,2026-06-20T19:22:02+00:00
anthropic/claude-sonnet-4.6,S10,E,S10_E,1,3,3,3,3,3,3,1,2,1,3,2,2,3,deepseek-v4-flash,medium,0.01,stop,4398,185,,ok,,2026-06-20T19:22:06+00:00
anthropic/claude-sonnet-4.6,S10,F,S10_F,1,3,2,3,3,3,3,2,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4415,185,,ok,,2026-06-20T19:22:10+00:00
anthropic/claude-sonnet-4.6,S01,A,S01_A,2,3,3,3,2,3,3,1,1,1,3,2,1,2,deepseek-v4-flash,medium,0.01,stop,4409,185,,ok,,2026-06-20T19:22:14+00:00
anthropic/claude-sonnet-4.6,S01,B,S01_B,2,2,3,2,2,3,3,1,2,1,1,3,2,2,deepseek-v4-flash,medium,0.01,stop,4335,185,,ok,,2026-06-20T19:22:18+00:00
anthropic/claude-sonnet-4.6,S01,C,S01_C,2,3,3,3,3,3,3,1,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4531,185,,ok,,2026-06-20T19:22:22+00:00
anthropic/claude-sonnet-4.6,S01,D,S01_D,2,1,1,2,2,3,1,1,3,1,1,3,1,2,deepseek-v4-flash,medium,0.01,stop,5267,185,,ok,,2026-06-20T19:22:26+00:00
anthropic/claude-sonnet-4.6,S01,E,S01_E,2,3,3,3,2,2,3,1,2,1,3,2,2,3,deepseek-v4-flash,medium,0.01,stop,4401,185,,ok,,2026-06-20T19:22:30+00:00
anthropic/claude-sonnet-4.6,S01,F,S01_F,2,2,2,3,2,3,3,1,2,1,2,2,2,2,deepseek-v4-flash,medium,0.01,stop,4362,185,,ok,,2026-06-20T19:22:33+00:00
anthropic/claude-sonnet-4.6,S02,A,S02_A,2,3,2,3,2,2,3,1,1,1,3,2,2,2,deepseek-v4-flash,medium,0.01,stop,4387,185,,ok,,2026-06-20T19:22:37+00:00
anthropic/claude-sonnet-4.6,S02,B,S02_B,2,2,3,2,2,3,1,1,2,1,1,3,2,2,deepseek-v4-flash,medium,0.01,stop,4301,185,,ok,,2026-06-20T19:22:41+00:00
anthropic/claude-sonnet-4.6,S02,C,S02_C,2,3,3,3,2,3,3,1,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,4370,185,,ok,,2026-06-20T19:22:45+00:00
anthropic/claude-sonnet-4.6,S02,D,S02_D,2,2,3,3,3,3,1,2,3,1,1,3,2,2,deepseek-v4-flash,medium,0.01,stop,6382,185,,ok,,2026-06-20T19:22:49+00:00
anthropic/claude-sonnet-4.6,S02,E,S02_E,2,3,3,3,2,3,3,1,2,1,3,2,2,2,deepseek-v4-flash,medium,0.01,stop,4358,185,,ok,,2026-06-20T19:22:53+00:00
anthropic/claude-sonnet-4.6,S02,F,S02_F,2,3,3,3,2,3,3,1,2,1,3,2,1,2,deepseek-v4-flash,medium,0.01,stop,4370,185,,ok,,2026-06-20T19:22:57+00:00
anthropic/claude-sonnet-4.6,S03,A,S03_A,2,3,2,3,3,2,3,1,2,1,3,2,2,2,deepseek-v4-flash,medium,0.01,stop,4415,185,,ok,,2026-06-20T19:23:00+00:00
anthropic/claude-sonnet-4.6,S03,B,S03_B,2,3,2,3,3,3,3,1,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4569,185,,ok,,2026-06-20T19:23:04+00:00
anthropic/claude-sonnet-4.6,S03,C,S03_C,2,3,2,3,3,3,3,1,2,1,3,2,2,2,deepseek-v4-flash,medium,0.01,stop,4383,185,,ok,,2026-06-20T19:23:08+00:00
anthropic/claude-sonnet-4.6,S03,D,S03_D,2,1,1,3,2,3,1,1,3,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,6194,185,,ok,,2026-06-20T19:23:12+00:00
anthropic/claude-sonnet-4.6,S03,E,S03_E,2,3,2,3,3,3,3,1,2,1,3,2,2,3,deepseek-v4-flash,medium,0.01,stop,4395,185,,ok,,2026-06-20T19:23:16+00:00
anthropic/claude-sonnet-4.6,S03,F,S03_F,2,3,2,3,3,3,3,1,2,1,2,2,2,3,deepseek-v4-flash,medium,0.01,stop,4373,185,,ok,,2026-06-20T19:23:20+00:00
anthropic/claude-sonnet-4.6,S04,A,S04_A,2,3,3,3,3,3,3,2,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4471,185,,ok,,2026-06-20T19:23:24+00:00
anthropic/claude-sonnet-4.6,S04,B,S04_B,2,2,2,3,3,3,3,1,3,1,1,3,3,1,deepseek-v4-flash,medium,0.01,stop,4358,185,,ok,,2026-06-20T19:23:28+00:00
anthropic/claude-sonnet-4.6,S04,C,S04_C,2,3,2,3,3,3,3,2,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4414,185,,ok,,2026-06-20T19:23:32+00:00
anthropic/claude-sonnet-4.6,S04,D,S04_D,2,3,3,3,3,3,3,2,3,1,1,3,3,2,deepseek-v4-flash,medium,0.01,stop,5569,185,,ok,,2026-06-20T19:23:36+00:00
anthropic/claude-sonnet-4.6,S04,E,S04_E,2,3,2,3,3,3,3,2,2,1,2,2,2,2,deepseek-v4-flash,medium,0.01,stop,4376,185,,ok,,2026-06-20T19:23:40+00:00
anthropic/claude-sonnet-4.6,S04,F,S04_F,2,3,2,3,3,3,3,2,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4401,185,,ok,,2026-06-20T19:23:43+00:00
anthropic/claude-sonnet-4.6,S05,A,S05_A,2,3,2,3,3,3,3,1,2,1,3,2,2,3,deepseek-v4-flash,medium,0.01,stop,4439,185,,ok,,2026-06-20T19:23:47+00:00
anthropic/claude-sonnet-4.6,S05,B,S05_B,2,2,2,2,3,3,3,1,2,1,1,3,2,2,deepseek-v4-flash,medium,0.01,stop,4294,185,,ok,,2026-06-20T19:23:51+00:00
anthropic/claude-sonnet-4.6,S05,C,S05_C,2,3,2,3,3,3,2,1,2,1,2,2,2,3,deepseek-v4-flash,medium,0.01,stop,4375,185,,ok,,2026-06-20T19:23:55+00:00
anthropic/claude-sonnet-4.6,S05,D,S05_D,2,2,2,3,2,3,3,3,3,1,1,3,2,2,deepseek-v4-flash,medium,0.01,stop,4940,185,,ok,,2026-06-20T19:23:59+00:00
anthropic/claude-sonnet-4.6,S05,E,S05_E,2,3,3,3,2,3,3,1,1,1,3,2,2,3,deepseek-v4-flash,medium,0.01,stop,4364,185,,ok,,2026-06-20T19:24:03+00:00
anthropic/claude-sonnet-4.6,S05,F,S05_F,2,2,2,3,2,3,3,1,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4346,185,,ok,,2026-06-20T19:24:06+00:00
anthropic/claude-sonnet-4.6,S06,A,S06_A,2,3,3,3,2,3,3,1,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,4465,185,,ok,,2026-06-20T19:24:10+00:00
anthropic/claude-sonnet-4.6,S06,B,S06_B,2,1,2,2,2,3,2,1,3,1,1,3,2,2,deepseek-v4-flash,medium,0.01,stop,4414,185,,ok,,2026-06-20T19:24:14+00:00
anthropic/claude-sonnet-4.6,S06,C,S06_C,2,3,2,3,3,3,3,1,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4467,185,,ok,,2026-06-20T19:24:17+00:00
anthropic/claude-sonnet-4.6,S06,D,S06_D,2,1,2,3,3,3,1,1,3,1,1,3,3,1,deepseek-v4-flash,medium,0.01,stop,5657,185,,ok,,2026-06-20T19:24:22+00:00
anthropic/claude-sonnet-4.6,S06,E,S06_E,2,3,2,3,1,3,3,1,2,1,3,3,1,2,deepseek-v4-flash,medium,0.01,stop,4387,185,,ok,,2026-06-20T19:24:26+00:00
anthropic/claude-sonnet-4.6,S06,F,S06_F,2,2,2,3,2,3,2,1,2,1,1,3,2,2,deepseek-v4-flash,medium,0.01,stop,4408,185,,ok,,2026-06-20T19:24:29+00:00
anthropic/claude-sonnet-4.6,S07,A,S07_A,2,3,3,3,2,3,3,1,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,4432,185,,ok,,2026-06-20T19:24:33+00:00
anthropic/claude-sonnet-4.6,S07,B,S07_B,2,1,3,2,2,3,1,1,3,1,1,3,2,1,deepseek-v4-flash,medium,0.01,stop,4409,185,,ok,,2026-06-20T19:24:37+00:00
anthropic/claude-sonnet-4.6,S07,C,S07_C,2,3,2,3,3,3,3,2,2,1,2,2,2,2,deepseek-v4-flash,medium,0.01,stop,4381,185,,ok,,2026-06-20T19:24:41+00:00
anthropic/claude-sonnet-4.6,S07,D,S07_D,2,1,2,3,3,3,1,1,3,1,1,3,3,2,deepseek-v4-flash,medium,0.01,stop,4961,185,,ok,,2026-06-20T19:24:45+00:00
anthropic/claude-sonnet-4.6,S07,E,S07_E,2,3,3,3,3,3,3,1,2,1,3,3,2,2,deepseek-v4-flash,medium,0.01,stop,4429,185,,ok,,2026-06-20T19:24:49+00:00
anthropic/claude-sonnet-4.6,S07,F,S07_F,2,2,2,3,2,3,3,2,2,1,1,3,2,2,deepseek-v4-flash,medium,0.01,stop,4389,185,,ok,,2026-06-20T19:24:53+00:00
anthropic/claude-sonnet-4.6,S08,A,S08_A,2,3,2,3,2,3,3,1,1,1,3,2,1,3,deepseek-v4-flash,medium,0.01,stop,4412,185,,ok,,2026-06-20T19:24:56+00:00
anthropic/claude-sonnet-4.6,S08,B,S08_B,2,2,2,2,3,3,3,1,2,1,1,3,2,2,deepseek-v4-flash,medium,0.01,stop,4402,185,,ok,,2026-06-20T19:25:00+00:00
anthropic/claude-sonnet-4.6,S08,C,S08_C,2,3,2,3,3,3,3,2,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4408,185,,ok,,2026-06-20T19:25:04+00:00
anthropic/claude-sonnet-4.6,S08,D,S08_D,2,2,2,3,3,3,3,2,3,1,1,3,2,2,deepseek-v4-flash,medium,0.01,stop,7243,185,,ok,,2026-06-20T19:25:08+00:00
anthropic/claude-sonnet-4.6,S08,E,S08_E,2,3,2,3,2,2,3,1,1,1,3,2,1,2,deepseek-v4-flash,medium,0.01,stop,4349,185,,ok,,2026-06-20T19:25:12+00:00
anthropic/claude-sonnet-4.6,S08,F,S08_F,2,2,2,3,2,3,3,1,2,1,2,3,1,2,deepseek-v4-flash,medium,0.01,stop,4393,185,,ok,,2026-06-20T19:25:16+00:00
anthropic/claude-sonnet-4.6,S09,A,S09_A,2,3,3,3,3,3,3,3,2,1,2,3,3,2,deepseek-v4-flash,medium,0.01,stop,4391,185,,ok,,2026-06-20T19:25:20+00:00
anthropic/claude-sonnet-4.6,S09,B,S09_B,2,2,2,3,3,3,3,1,2,1,1,3,3,1,deepseek-v4-flash,medium,0.01,stop,4273,185,,ok,,2026-06-20T19:25:23+00:00
anthropic/claude-sonnet-4.6,S09,C,S09_C,2,3,1,3,3,3,3,1,2,1,2,3,3,1,deepseek-v4-flash,medium,0.01,stop,4414,185,,ok,,2026-06-20T19:25:27+00:00
anthropic/claude-sonnet-4.6,S09,D,S09_D,2,1,2,3,3,3,1,1,3,1,1,3,3,1,deepseek-v4-flash,medium,0.01,stop,5083,185,,ok,,2026-06-20T19:25:31+00:00
anthropic/claude-sonnet-4.6,S09,E,S09_E,2,3,1,3,3,3,3,1,1,1,2,2,3,2,deepseek-v4-flash,medium,0.01,stop,4364,185,,ok,,2026-06-20T19:25:35+00:00
anthropic/claude-sonnet-4.6,S09,F,S09_F,2,3,1,3,3,3,3,1,2,1,1,3,3,1,deepseek-v4-flash,medium,0.01,stop,4371,185,,ok,,2026-06-20T19:25:38+00:00
anthropic/claude-sonnet-4.6,S10,A,S10_A,2,3,3,3,3,3,3,1,2,1,3,3,2,1,deepseek-v4-flash,medium,0.01,stop,4516,185,,ok,,2026-06-20T19:25:42+00:00
anthropic/claude-sonnet-4.6,S10,B,S10_B,2,1,3,3,3,3,1,1,3,1,1,3,2,1,deepseek-v4-flash,medium,0.01,stop,4440,185,,ok,,2026-06-20T19:25:46+00:00
anthropic/claude-sonnet-4.6,S10,C,S10_C,2,3,2,3,2,3,3,1,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4363,185,,ok,,2026-06-20T19:25:50+00:00
anthropic/claude-sonnet-4.6,S10,D,S10_D,2,1,2,3,2,3,1,1,3,1,1,3,2,1,deepseek-v4-flash,medium,0.01,stop,5056,185,,ok,,2026-06-20T19:25:54+00:00
anthropic/claude-sonnet-4.6,S10,E,S10_E,2,3,2,3,3,3,3,1,1,1,2,2,2,3,deepseek-v4-flash,medium,0.01,stop,4387,185,,ok,,2026-06-20T19:25:58+00:00
anthropic/claude-sonnet-4.6,S10,F,S10_F,2,3,2,3,3,3,3,1,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4411,185,,ok,,2026-06-20T19:26:02+00:00
anthropic/claude-sonnet-4.6,S01,A,S01_A,3,3,3,3,3,2,3,2,1,1,3,2,2,3,deepseek-v4-flash,medium,0.01,stop,4409,185,,ok,,2026-06-20T19:26:06+00:00
anthropic/claude-sonnet-4.6,S01,B,S01_B,3,1,3,2,3,3,1,1,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4317,185,,ok,,2026-06-20T19:26:09+00:00
anthropic/claude-sonnet-4.6,S01,C,S01_C,3,3,3,3,3,3,3,1,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4561,185,,ok,,2026-06-20T19:26:13+00:00
anthropic/claude-sonnet-4.6,S01,D,S01_D,3,2,2,3,2,3,3,3,3,1,1,3,1,2,deepseek-v4-flash,medium,0.01,stop,5439,185,,ok,,2026-06-20T19:26:17+00:00
anthropic/claude-sonnet-4.6,S01,E,S01_E,3,3,3,3,3,2,3,1,1,1,3,2,2,3,deepseek-v4-flash,medium,0.01,stop,4418,185,,ok,,2026-06-20T19:26:22+00:00
anthropic/claude-sonnet-4.6,S01,F,S01_F,3,2,2,3,2,3,3,1,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4372,185,,ok,,2026-06-20T19:26:26+00:00
anthropic/claude-sonnet-4.6,S02,A,S02_A,3,3,2,3,2,3,3,1,1,1,3,2,2,2,deepseek-v4-flash,medium,0.01,stop,4399,185,,ok,,2026-06-20T19:26:30+00:00
anthropic/claude-sonnet-4.6,S02,B,S02_B,3,3,3,2,3,3,3,1,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4286,185,,ok,,2026-06-20T19:26:34+00:00
anthropic/claude-sonnet-4.6,S02,C,S02_C,3,3,3,3,2,3,3,1,2,1,2,3,2,2,deepseek-v4-flash,medium,0.01,stop,4379,185,,ok,,2026-06-20T19:26:37+00:00
anthropic/claude-sonnet-4.6,S02,D,S02_D,3,1,3,3,3,3,1,1,3,1,1,3,2,2,deepseek-v4-flash,medium,0.01,stop,5425,185,,ok,,2026-06-20T19:26:41+00:00
anthropic/claude-sonnet-4.6,S02,E,S02_E,3,3,3,3,2,3,3,1,1,1,3,2,2,2,deepseek-v4-flash,medium,0.01,stop,4358,185,,ok,,2026-06-20T19:26:45+00:00
