vignette_id,scenario_id,scenario_label,framing_id,framing_label,model,run_number,model_short,pos_emotion,neg_emotion,n_sentences
S06_A,S06,Abnormal Liver Function Tests,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.261739,0.090714,24
S06_B,S06,Abnormal Liver Function Tests,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.151622,0.034811,29
S06_C,S06,Abnormal Liver Function Tests,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.168016,0.080134,21
S06_D,S06,Abnormal Liver Function Tests,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.092876,0.081935,92
S06_E,S06,Abnormal Liver Function Tests,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.373916,0.128443,17
S06_F,S06,Abnormal Liver Function Tests,F,Humor / Irony,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.310747,0.115062,23
S07_A,S07,Heart Palpitations,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.426041,0.136915,22
S07_B,S07,Heart Palpitations,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.109767,0.027944,31
S07_C,S07,Heart Palpitations,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.348358,0.158178,21
S07_D,S07,Heart Palpitations,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.160422,0.097375,39
S07_E,S07,Heart Palpitations,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.271943,0.182156,18
S07_F,S07,Heart Palpitations,F,Humor / Irony,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.288229,0.051118,20
S08_A,S08,Difficulty Conceiving,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.271342,0.266607,14
S08_B,S08,Difficulty Conceiving,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.153206,0.039048,37
S08_C,S08,Difficulty Conceiving,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.094844,0.117569,28
S08_D,S08,Difficulty Conceiving,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.113858,0.056118,115
S08_E,S08,Difficulty Conceiving,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.305877,0.261462,15
S08_F,S08,Difficulty Conceiving,F,Humor / Irony,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.15869,0.133748,18
S09_A,S09,Post-Surgical Wound Concerns,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.240999,0.083895,24
S09_B,S09,Post-Surgical Wound Concerns,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.191045,0.077201,22
S09_C,S09,Post-Surgical Wound Concerns,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.214775,0.146732,19
S09_D,S09,Post-Surgical Wound Concerns,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.064931,0.055068,68
S09_E,S09,Post-Surgical Wound Concerns,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.273041,0.085683,14
S09_F,S09,Post-Surgical Wound Concerns,F,Humor / Irony,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.234972,0.124899,19
S10_A,S10,Persistent Headaches,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.219331,0.163727,28
S10_B,S10,Persistent Headaches,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.071424,0.078842,35
S10_C,S10,Persistent Headaches,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.215383,0.179838,24
S10_D,S10,Persistent Headaches,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.091003,0.06826,54
S10_E,S10,Persistent Headaches,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.301252,0.106171,16
S10_F,S10,Persistent Headaches,F,Humor / Irony,anthropic/claude-sonnet-4.6,1,Claude Sonnet 4.6,0.207993,0.122097,21
S01_A,S01,New Type 2 Diabetes Diagnosis,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.391696,0.202949,17
S01_B,S01,New Type 2 Diabetes Diagnosis,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.222636,0.03144,28
S01_C,S01,New Type 2 Diabetes Diagnosis,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.219904,0.111869,34
S01_D,S01,New Type 2 Diabetes Diagnosis,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.166406,0.042535,45
S01_E,S01,New Type 2 Diabetes Diagnosis,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.307477,0.150209,17
S01_F,S01,New Type 2 Diabetes Diagnosis,F,Humor / Irony,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.332557,0.065743,22
S02_A,S02,Breast Lump Awaiting Investigation,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.316429,0.1744,16
S02_B,S02,Breast Lump Awaiting Investigation,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.151953,0.047903,24
S02_C,S02,Breast Lump Awaiting Investigation,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.179955,0.186936,21
S02_D,S02,Breast Lump Awaiting Investigation,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.098668,0.043193,110
S02_E,S02,Breast Lump Awaiting Investigation,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.214497,0.101031,20
S02_F,S02,Breast Lump Awaiting Investigation,F,Humor / Irony,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.203236,0.124426,19
S03_A,S03,Chronic Lower Back Pain,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.278815,0.133176,22
S03_B,S03,Chronic Lower Back Pain,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.106586,0.080028,38
S03_C,S03,Chronic Lower Back Pain,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.116518,0.268436,16
S03_D,S03,Chronic Lower Back Pain,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.084256,0.04836,90
S03_E,S03,Chronic Lower Back Pain,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.351085,0.287797,13
S03_F,S03,Chronic Lower Back Pain,F,Humor / Irony,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.170955,0.095821,19
S04_A,S04,Child with Recurring Fevers,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.338587,0.036854,24
S04_B,S04,Child with Recurring Fevers,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.149497,0.045267,25
S04_C,S04,Child with Recurring Fevers,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.297205,0.050411,23
S04_D,S04,Child with Recurring Fevers,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.106827,0.043873,71
S04_E,S04,Child with Recurring Fevers,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.250242,0.157687,16
S04_F,S04,Child with Recurring Fevers,F,Humor / Irony,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.13042,0.098696,22
S05_A,S05,Newly Prescribed Antidepressants,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.300055,0.122892,22
S05_B,S05,Newly Prescribed Antidepressants,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.151176,0.151677,27
S05_C,S05,Newly Prescribed Antidepressants,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.161128,0.282871,14
S05_D,S05,Newly Prescribed Antidepressants,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.184195,0.062976,47
S05_E,S05,Newly Prescribed Antidepressants,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.388326,0.185254,18
S05_F,S05,Newly Prescribed Antidepressants,F,Humor / Irony,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.334848,0.095183,20
S06_A,S06,Abnormal Liver Function Tests,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.418052,0.087027,26
S06_B,S06,Abnormal Liver Function Tests,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.196059,0.039119,25
S06_C,S06,Abnormal Liver Function Tests,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.182693,0.114502,25
S06_D,S06,Abnormal Liver Function Tests,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.12606,0.079035,73
S06_E,S06,Abnormal Liver Function Tests,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.353862,0.097365,16
S06_F,S06,Abnormal Liver Function Tests,F,Humor / Irony,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.243192,0.104143,19
S07_A,S07,Heart Palpitations,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.278147,0.12284,18
S07_B,S07,Heart Palpitations,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.063928,0.052286,26
S07_C,S07,Heart Palpitations,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.266671,0.097588,23
S07_D,S07,Heart Palpitations,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.117986,0.054268,42
S07_E,S07,Heart Palpitations,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.245524,0.161139,27
S07_F,S07,Heart Palpitations,F,Humor / Irony,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.322315,0.139772,22
S08_A,S08,Difficulty Conceiving,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.452188,0.075678,15
S08_B,S08,Difficulty Conceiving,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.165986,0.024692,28
S08_C,S08,Difficulty Conceiving,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.173781,0.146449,25
S08_D,S08,Difficulty Conceiving,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.142506,0.057206,139
S08_E,S08,Difficulty Conceiving,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.344224,0.231581,15
S08_F,S08,Difficulty Conceiving,F,Humor / Irony,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.205509,0.047718,19
S09_A,S09,Post-Surgical Wound Concerns,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.349091,0.09216,22
S09_B,S09,Post-Surgical Wound Concerns,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.249356,0.082032,19
S09_C,S09,Post-Surgical Wound Concerns,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.159394,0.161422,23
S09_D,S09,Post-Surgical Wound Concerns,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.083937,0.074947,60
S09_E,S09,Post-Surgical Wound Concerns,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.339912,0.204797,12
S09_F,S09,Post-Surgical Wound Concerns,F,Humor / Irony,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.214611,0.08514,20
S10_A,S10,Persistent Headaches,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.201586,0.212972,31
S10_B,S10,Persistent Headaches,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.081453,0.055019,36
S10_C,S10,Persistent Headaches,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.198392,0.18726,18
S10_D,S10,Persistent Headaches,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.114096,0.07518,56
S10_E,S10,Persistent Headaches,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.205025,0.128445,15
S10_F,S10,Persistent Headaches,F,Humor / Irony,anthropic/claude-sonnet-4.6,2,Claude Sonnet 4.6,0.239694,0.130332,20
S01_A,S01,New Type 2 Diabetes Diagnosis,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.319361,0.150311,16
S01_B,S01,New Type 2 Diabetes Diagnosis,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.210243,0.029982,26
S01_C,S01,New Type 2 Diabetes Diagnosis,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.299961,0.112296,35
S01_D,S01,New Type 2 Diabetes Diagnosis,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.200742,0.04333,57
S01_E,S01,New Type 2 Diabetes Diagnosis,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.410945,0.108176,16
S01_F,S01,New Type 2 Diabetes Diagnosis,F,Humor / Irony,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.210377,0.0979,21
S02_A,S02,Breast Lump Awaiting Investigation,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.271281,0.177901,18
S02_B,S02,Breast Lump Awaiting Investigation,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.245901,0.041818,23
S02_C,S02,Breast Lump Awaiting Investigation,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.230636,0.140214,21
S02_D,S02,Breast Lump Awaiting Investigation,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.106844,0.033955,69
S02_E,S02,Breast Lump Awaiting Investigation,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.237729,0.101784,17
S02_F,S02,Breast Lump Awaiting Investigation,F,Humor / Irony,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.282181,0.107831,22
S03_A,S03,Chronic Lower Back Pain,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.306648,0.179102,17
S03_B,S03,Chronic Lower Back Pain,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.124232,0.115237,36
S03_C,S03,Chronic Lower Back Pain,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.182927,0.213112,14
S03_D,S03,Chronic Lower Back Pain,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.094479,0.077618,83
S03_E,S03,Chronic Lower Back Pain,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.230992,0.29057,12
S03_F,S03,Chronic Lower Back Pain,F,Humor / Irony,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.147193,0.187377,20
S04_A,S04,Child with Recurring Fevers,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.332903,0.038164,28
S04_B,S04,Child with Recurring Fevers,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.175078,0.028385,27
S04_C,S04,Child with Recurring Fevers,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.231473,0.08984,24
S04_D,S04,Child with Recurring Fevers,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.126514,0.058259,65
S04_E,S04,Child with Recurring Fevers,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.309026,0.082157,22
S04_F,S04,Child with Recurring Fevers,F,Humor / Irony,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.160373,0.096161,16
S05_A,S05,Newly Prescribed Antidepressants,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.251594,0.232394,27
S05_B,S05,Newly Prescribed Antidepressants,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.278754,0.10333,26
S05_C,S05,Newly Prescribed Antidepressants,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.243846,0.163917,16
S05_D,S05,Newly Prescribed Antidepressants,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.141081,0.07021,47
S05_E,S05,Newly Prescribed Antidepressants,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.271678,0.150997,17
S05_F,S05,Newly Prescribed Antidepressants,F,Humor / Irony,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.330968,0.132874,20
S06_A,S06,Abnormal Liver Function Tests,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.311566,0.098224,25
S06_B,S06,Abnormal Liver Function Tests,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.133467,0.040138,32
S06_C,S06,Abnormal Liver Function Tests,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.183185,0.098945,31
S06_D,S06,Abnormal Liver Function Tests,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.10391,0.045237,82
S06_E,S06,Abnormal Liver Function Tests,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.291862,0.128199,19
S06_F,S06,Abnormal Liver Function Tests,F,Humor / Irony,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.202618,0.06752,22
S07_A,S07,Heart Palpitations,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.29992,0.14703,23
S07_B,S07,Heart Palpitations,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.118451,0.060195,25
S07_C,S07,Heart Palpitations,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.242164,0.143947,21
S07_D,S07,Heart Palpitations,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.186496,0.04718,26
S07_E,S07,Heart Palpitations,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.382811,0.194096,17
S07_F,S07,Heart Palpitations,F,Humor / Irony,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.252413,0.025192,19
S08_A,S08,Difficulty Conceiving,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.257772,0.271902,15
S08_B,S08,Difficulty Conceiving,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.10807,0.02343,30
S08_C,S08,Difficulty Conceiving,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.160675,0.230256,11
S08_D,S08,Difficulty Conceiving,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.118734,0.063398,100
S08_E,S08,Difficulty Conceiving,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.499085,0.184265,12
S08_F,S08,Difficulty Conceiving,F,Humor / Irony,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.260579,0.180065,20
S09_A,S09,Post-Surgical Wound Concerns,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.179071,0.180003,29
S09_B,S09,Post-Surgical Wound Concerns,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.189882,0.07589,25
S09_C,S09,Post-Surgical Wound Concerns,C,Angry / Frustrated,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.232601,0.130082,16
S09_D,S09,Post-Surgical Wound Concerns,D,Hyper-rational / Information-seeking,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.095478,0.046287,60
S09_E,S09,Post-Surgical Wound Concerns,E,Overwhelmed / Defeated,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.209129,0.130703,15
S09_F,S09,Post-Surgical Wound Concerns,F,Humor / Irony,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.25423,0.048587,21
S10_A,S10,Persistent Headaches,A,Anxious / Catastrophising,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.229708,0.220679,27
S10_B,S10,Persistent Headaches,B,Stoic / Minimal,anthropic/claude-sonnet-4.6,3,Claude Sonnet 4.6,0.078142,0.056467,23
