model,item_number,repetition,raw_response,parsed_response,scored_value,factor_label,keying
anthropic/claude-sonnet-4.6,26,8,2,2,4,Extraversion,-
anthropic/claude-sonnet-4.6,26,9,2,2,4,Extraversion,-
anthropic/claude-sonnet-4.6,26,10,2,2,4,Extraversion,-
anthropic/claude-sonnet-4.6,27,1,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,27,2,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,27,3,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,27,4,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,27,5,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,27,6,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,27,7,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,27,8,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,27,9,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,27,10,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,28,1,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,28,2,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,28,3,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,28,4,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,28,5,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,28,6,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,28,7,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,28,8,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,28,9,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,28,10,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,29,1,2,2,4,Emotional Stability,-
anthropic/claude-sonnet-4.6,29,2,2,2,4,Emotional Stability,-
anthropic/claude-sonnet-4.6,29,3,2,2,4,Emotional Stability,-
anthropic/claude-sonnet-4.6,29,4,2,2,4,Emotional Stability,-
anthropic/claude-sonnet-4.6,29,5,2,2,4,Emotional Stability,-
anthropic/claude-sonnet-4.6,29,6,2,2,4,Emotional Stability,-
anthropic/claude-sonnet-4.6,29,7,2,2,4,Emotional Stability,-
anthropic/claude-sonnet-4.6,29,8,2,2,4,Emotional Stability,-
anthropic/claude-sonnet-4.6,29,9,2,2,4,Emotional Stability,-
anthropic/claude-sonnet-4.6,29,10,2,2,4,Emotional Stability,-
anthropic/claude-sonnet-4.6,30,1,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,30,2,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,30,3,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,30,4,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,30,5,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,30,6,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,30,7,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,30,8,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,30,9,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,30,10,2,2,4,Intellect/Openness,-
anthropic/claude-sonnet-4.6,31,1,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,31,2,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,31,3,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,31,4,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,31,5,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,31,6,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,31,7,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,31,8,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,31,9,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,31,10,3,3,3,Extraversion,+
anthropic/claude-sonnet-4.6,32,1,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,32,2,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,32,3,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,32,4,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,32,5,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,32,6,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,32,7,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,32,8,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,32,9,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,32,10,2,2,4,Agreeableness,-
anthropic/claude-sonnet-4.6,33,1,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,33,2,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,33,3,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,33,4,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,33,5,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,33,6,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,33,7,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,33,8,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,33,9,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,33,10,4,4,4,Conscientiousness,+
anthropic/claude-sonnet-4.6,34,1,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,34,2,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,34,3,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,34,4,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,34,5,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,34,6,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,34,7,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,34,8,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,34,9,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,34,10,3,3,3,Emotional Stability,-
anthropic/claude-sonnet-4.6,35,1,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,35,2,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,35,3,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,35,4,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,35,5,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,35,6,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,35,7,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,35,8,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,35,9,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,35,10,4,4,4,Intellect/Openness,+
anthropic/claude-sonnet-4.6,36,1,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,36,2,2,2,4,Extraversion,-
anthropic/claude-sonnet-4.6,36,3,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,36,4,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,36,5,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,36,6,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,36,7,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,36,8,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,36,9,2,2,4,Extraversion,-
anthropic/claude-sonnet-4.6,36,10,3,3,3,Extraversion,-
anthropic/claude-sonnet-4.6,37,1,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,37,2,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,37,3,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,37,4,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,37,5,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,37,6,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,37,7,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,37,8,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,37,9,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,37,10,4,4,4,Agreeableness,+
anthropic/claude-sonnet-4.6,38,1,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,38,2,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,38,3,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,38,4,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,38,5,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,38,6,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,38,7,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,38,8,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,38,9,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,38,10,2,2,4,Conscientiousness,-
anthropic/claude-sonnet-4.6,39,1,2,2,4,Emotional Stability,-
